"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","MAN","SNN","2161"
"BOS","DFW","SFO","ORD","BOS","8744"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","MAN","SNN","2161"
"BOS","DFW","SFO","ORD","BOS","8744"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"DUB","MAN","AAL","JFK","BOS","DUB","7131"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"DUB","MAN","AAL","JFK","BOS","DUB","7131"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"DUB","MAN","AAL","JFK","BOS","DUB","7131"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"DUB","MAN","AAL","JFK","BOS","DUB","7131"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
"BOS","ORD","SFO","DFW","ATL","BOS","8921"
"DUB","MAN","AAL","JFK","BOS","DUB","7131"
"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost"
"SNN","ORK","CDG","SIN","MAN","SNN","19774"
