"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"JAA","KDH","TII","MMZ","UND","JAA","26","A319"
"PEU","BHG","HKG","PEV","DEB","PEU","N/A","Not Feasible"
"AHS","HKG","BUD","QPJ","SOB","AHS","N/A","Not Feasible"
"BHG","BUD","DEB","AEY","QGY","BHG","N/A","Not Feasible"
"HKG","DEB","SOB","EGS","PEV","HKG","N/A","Not Feasible"
"BUD","SOB","QGY","HFN","QPJ","BUD","N/A","Not Feasible"
"DEB","QGY","PEV","HZK","AEY","DEB","N/A","Not Feasible"
"SOB","PEV","QPJ","IFJ","EGS","SOB","N/A","Not Feasible"
"QGY","QPJ","KEF","AEY","HFN","QGY","30","A319"
"PEV","PFJ","AEY","HZK","EGS","PEV","31","A320"
"QPJ","RKV","IFJ","EGS","HFN","QPJ","32","A321"
"AEY","HZK","SIJ","HFN","KEF","AEY","4","A330"
"EGS","HZK","IFJ","PFJ","VEY","EGS","6","737"
"HFN","IFJ","KEF","RKV","MVA","HFN","5","747"
"HZK","VPN","KEF","PFJ","SIJ","HZK","4","757"
"IFJ","PFJ","RKV","VEY","THO","IFJ","5","767"
"KEF","RKV","SIJ","GRY","MVA","KEF","3","777"
"PFJ","SIJ","VPN","VEY","BIU","PFJ","5","BAE146"
"RKV","VEY","GJR","THO","MVA","RKV","3","DC8"
"SIJ","MVA","VPN","SAK","GRY","SIJ","1","F50"
"VEY","VPN","NOR","THO","BIU","VEY","5","MD11"
"MVA","THO","GRY","AMD","GJR","MVA","N/A","Not Feasible"
"VPN","GRY","BIU","AKD","SAK","VPN","N/A","Not Feasible"
"THO","BIU","GJR","IXU","NOR","THO","N/A","Not Feasible"
"GRY","GJR","SAK","BOM","AMD","GRY","N/A","Not Feasible"
"BIU","SAK","NOR","PAB","AKD","BIU","N/A","Not Feasible"
"GJR","NOR","AMD","BHJ","IXU","GJR","N/A","Not Feasible"
"SAK","AMD","AKD","IXG","BOM","SAK","N/A","Not Feasible"
"NOR","AKD","IXU","BDQ","PAB","NOR","N/A","Not Feasible"
"AMD","BHO","IXU","BOM","BHJ","AMD","29","A320"
"AKD","PAB","IXG","BOM","BHU","AKD","40","A321"
"IXU","PAB","BDQ","BHJ","NMB","IXU","39","A330"
"BOM","BHJ","BHO","IXG","GOI","BOM","39","737"
"PAB","IXG","BHU","BDQ","IDR","PAB","39","747"
"BHJ","BDQ","BHO","JLR","NMB","BHJ","33","757"
"IXG","BHO","BHU","JGA","GOI","IXG","38","767"
"BDQ","BHU","IXY","NMB","IDR","BDQ","20","777"
"BHO","NMB","GOI","JLR","HJR","BHO","38","BAE146"
"BHU","IDR","GOI","KLH","JGA","BHU","33","DC8"
"NMB","JLR","IDR","IXY","IXK","NMB","33","F50"
"GOI","JGA","HJR","JLR","NAG","GOI","45","MD11"
"IDR","IXY","JGA","KLH","ISK","IDR","30","A400M"
"JLR","HJR","IXY","IXK","PNQ","JLR","39","C212"
"JGA","HJR","NAG","KLH","PBD","JGA","43","V22"
"IXY","RAJ","IXK","KLH","ISK","IXY","24","A319"
"HJR","IXK","PNQ","NAG","RPR","HJR","42","A320"
"KLH","ISK","PBD","NAG","SSE","KLH","36","A321"
"IXK","PNQ","ISK","STV","RAJ","IXK","15","A330"
"NAG","PNQ","PBD","UDR","RPR","NAG","42","737"
"ISK","PBD","RAJ","IXA","SSE","ISK","71","747"
"PNQ","RAJ","STV","RPR","AJL","PNQ","71","757"
"PBD","SSE","RPR","IXB","UDR","PBD","65","767"
"RAJ","STV","SSE","BBI","IXA","RAJ","67","777"
"RPR","STV","UDR","AJL","CCU","RPR","64","BAE146"
"SSE","UDR","IXB","COH","IXA","SSE","65","DC8"
"STV","DBD","IXA","AJL","BBI","STV","62","F50"
"UDR","IXB","AJL","CCU","GAY","UDR","58","MD11"
"IXA","BBI","IXB","COH","IMF","IXA","33","A400M"
"AJL","CCU","BBI","IXW","DBD","AJL","25","C212"
"IXB","COH","JRH","CCU","GAY","IXB","31","V22"
"BBI","DBD","COH","IMF","IXH","BBI","32","BB1"
"CCU","IXS","DBD","GAY","IXW","CCU","25","BA10"
"COH","GAY","IMF","JRH","IXI","COH","30","SIS99"
"DBD","IXW","MOH","IMF","IXH","DBD","30","SAH"
"GAY","IXW","IXS","JRH","PAT","GAY","31","A319"
"IMF","JRH","IXI","IXR","IXH","IMF","29","A320"
"IXW","IXH","IXS","MOH","RRK","IXW","34","A321"
"JRH","IXS","VTZ","PAT","IXI","JRH","48","A330"
"IXH","IXI","MOH","AGR","IXR","IXH","53","737"
"IXS","MOH","PAT","IXD","RRK","IXS","45","747"
"IXI","PAT","IXR","VTZ","ATQ","IXI","80","757"
"MOH","IXR","RRK","VNS","AGR","MOH","55","767"
"PAT","RRK","VTZ","IXD","KUU","PAT","53","777"
"IXR","VTZ","AGR","ATQ","IXC","IXR","54","BAE146"
"RRK","AGR","DED","IXD","VNS","RRK","34","DC8"
"VTZ","IXD","KUU","ATQ","DEL","VTZ","54","F50"
"AGR","ATQ","IXC","VNS","GWL","AGR","31","MD11"
"IXD","VNS","JDH","KUU","DED","IXD","38","A400M"
"ATQ","KUU","IXC","DEL","JAI","ATQ","19","C212"
"VNS","DED","IXC","JSA","GWL","VNS","40","V22"
"KUU","DED","DEL","JDH","IXJ","KUU","27","BB1"
"IXC","DEL","JAI","GWL","KNU","IXC","20","BA10"
"DED","GWL","KTU","JDH","JSA","DED","29","SIS99"
"DEL","JAI","JDH","LUH","IXJ","DEL","25","SAH"
"GWL","JAI","JSA","IXL","KNU","GWL","41","A319"
"JDH","JSA","IXJ","LKO","KTU","JDH","39","A320"
"JAI","IXJ","IXP","LUH","KNU","JAI","27","A321"
