"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"JAA","JAA","UND","MMZ","TII","KDH","26","A319"
"PEU","BHG","HKG","PEV","DEB","PEU","cant complete trip","A400M"
"AHS","HKG","BUD","QPJ","SOB","AHS","cant complete trip","C212"
"BHG","BUD","DEB","AEY","QGY","BHG","cant complete trip","V22"
"HKG","DEB","SOB","EGS","PEV","HKG","cant complete trip","BB1"
"BUD","SOB","QGY","HFN","QPJ","BUD","cant complete trip","BA10"
"DEB","QGY","PEV","HZK","AEY","DEB","cant complete trip","SIS99"
"SOB","PEV","QPJ","IFJ","EGS","SOB","cant complete trip","SAH"
"QGY","QGY","QPJ","HFN","AEY","KEF","31","A319"
"PEV","PEV","EGS","AEY","HZK","PFJ","34","A320"
"QPJ","QPJ","EGS","HFN","RKV","IFJ","34","A321"
"AEY","AEY","HZK","SIJ","HFN","KEF","4","A330"
"EGS","EGS","HZK","IFJ","PFJ","VEY","6","737"
"HFN","HFN","MVA","IFJ","KEF","RKV","5","747"
"HZK","HZK","VPN","SIJ","PFJ","KEF","5","757"
"IFJ","IFJ","PFJ","RKV","VEY","THO","5","767"
"KEF","KEF","RKV","SIJ","GRY","MVA","3","777"
"PFJ","PFJ","BIU","SIJ","VPN","VEY","6","BAE146"
"RKV","RKV","VEY","GJR","MVA","THO","4","DC8"
"SIJ","SIJ","MVA","VPN","SAK","GRY","1","F50"
"VEY","VEY","BIU","VPN","THO","NOR","5","MD11"
"MVA","THO","GRY","AMD","GJR","MVA","cant complete trip","A400M"
"VPN","GRY","BIU","AKD","SAK","VPN","cant complete trip","C212"
"THO","BIU","GJR","IXU","NOR","THO","cant complete trip","V22"
"GRY","GJR","SAK","BOM","AMD","GRY","cant complete trip","BB1"
"BIU","SAK","NOR","PAB","AKD","BIU","cant complete trip","BA10"
"GJR","NOR","AMD","BHJ","IXU","GJR","cant complete trip","SIS99"
"SAK","AMD","AKD","IXG","BOM","SAK","cant complete trip","SAH"
"NOR","AKD","IXU","BDQ","PAB","NOR","cant complete trip","A319"
"AMD","AMD","BHJ","BOM","IXU","BHO","29","A320"
"AKD","AKD","BOM","BHU","IXG","PAB","44","A321"
"IXU","IXU","NMB","BDQ","BHJ","PAB","42","A330"
"BOM","BOM","IXG","GOI","BHJ","BHO","41","737"
"PAB","PAB","IDR","BDQ","BHU","IXG","39","747"
"BHJ","BHJ","BDQ","NMB","BHO","JLR","36","757"
"IXG","IXG","GOI","BHU","JGA","BHO","39","767"
"BDQ","BDQ","BHU","NMB","IXY","IDR","21","777"
"BHO","BHO","HJR","JLR","NMB","GOI","40","BAE146"
"BHU","BHU","JGA","IDR","KLH","GOI","34","DC8"
"NMB","NMB","IXK","IXY","IDR","JLR","33","F50"
"GOI","GOI","NAG","JLR","HJR","JGA","45","MD11"
"IDR","IDR","ISK","KLH","JGA","IXY","30","A400M"
"JLR","JLR","HJR","PNQ","IXK","IXY","41","C212"
"JGA","JGA","PBD","KLH","NAG","HJR","43","V22"
"IXY","IXY","RAJ","IXK","ISK","KLH","25","A319"
