JAA,KDH,MMZ,TII,UND,A319
KBL,MMZ,MZR,ZAJ,FBD,A320
KDH,MZR,UND,CCN,BPM,A321
MMZ,UND,FBD,KHT,TII,A330
MZR,FBD,BPM,AZ3,ZAJ,737
UND,BPM,TII,BST,CCN,747
FBD,TII,ZAJ,BIN,KHT,757
BPM,ZAJ,CCN,TIA,AZ3,767
TII,CCN,KHT,BJA,BST,777
ZAJ,KHT,AZ3,ALG,BIN,BAE146
CCN,AZ3,BST,DJG,TIA,DC8
KHT,BST,BIN,QFD,BJA,F50
AZ3,BIN,TIA,VVZ,ALG,MD11
BST,TIA,BJA,TMR,DJG,A400M
BIN,BJA,ALG,GJL,QFD,C212
TIA,ALG,DJG,AAE,VVZ,V22
BJA,DJG,QFD,CZL,TMR,BB1
ALG,QFD,VVZ,TEE,GJL,BA10
DJG,VVZ,TMR,HRM,AAE,SIS99
QFD,TMR,GJL,TID,CZL,SAH
VVZ,GJL,AAE,TIN,TEE,A319
TMR,AAE,CZL,QAS,HRM,A320
GJL,CZL,TEE,TAF,TID,A321
AAE,TEE,HRM,TLM,TIN,A330
CZL,HRM,TID,ORN,QAS,737
TEE,TID,TIN,MUW,TAF,747
HRM,TIN,QAS,AZR,TLM,757
TID,QAS,TAF,BSK,ORN,767
TIN,TAF,TLM,ELG,MUW,777
QAS,TLM,ORN,GHA,AZR,BAE146
TAF,ORN,MUW,HME,BSK,DC8
TLM,MUW,AZR,INZ,ELG,F50
ORN,AZR,BSK,TGR,GHA,MD11
MUW,BSK,ELG,LOO,HME,A400M
AZR,ELG,GHA,TMX,INZ,C212
BSK,GHA,HME,OGX,TGR,V22
ELG,HME,INZ,IAM,LOO,BB1
GHA,INZ,TGR,ELU,TMX,BA10
HME,TGR,LOO,BMW,OGX,SIS99
INZ,LOO,TMX,CBH,IAM,SAH
TGR,TMX,OGX,BLJ,ELU,A319
LOO,OGX,IAM,QSF,BMW,A320
TMX,IAM,ELU,QDJ,CBH,A321
OGX,ELU,BMW,PPG,BLJ,A330
IAM,BMW,CBH,FTI,QSF,737
ELU,CBH,BLJ,OFU,QDJ,747
BMW,BLJ,QSF,SSY,PPG,757
CBH,QSF,QDJ,BUG,FTI,767
BLJ,QDJ,PPG,CAB,OFU,777
QSF,PPG,FTI,NOV,SSY,BAE146
QDJ,FTI,OFU,SVP,BUG,DC8
PPG,OFU,SSY,LAD,CAB,F50
FTI,SSY,BUG,MEG,NOV,MD11
OFU,BUG,CAB,SPP,SVP,A400M
SSY,CAB,NOV,GXG,LAD,C212
BUG,NOV,SVP,PBN,MEG,V22
CAB,SVP,LAD,VHC,SPP,BB1
NOV,LAD,MEG,SZA,GXG,BA10
SVP,MEG,SPP,SDD,PBN,SIS99
LAD,SPP,GXG,LUO,VHC,SAH
MEG,GXG,PBN,UGO,SZA,A319
SPP,PBN,VHC,XGN,SDD,A320
GXG,VHC,SZA,MSZ,LUO,A321
PBN,SZA,SDD,VPE,UGO,A330
VHC,SDD,LUO,DUE,XGN,737
SZA,LUO,UGO,CBT,MSZ,747
